epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,11241.9,0.91725,1.25737,0.53486,0.93901,0.89779,0.82751,0.88745,0.63408,0.90097,0.83044,0.88737,0.61122,1.02309,1.4445,0.55528,1.03327,0.000878,0.000878,0.000878
87,11373.1,0.91547,1.25293,0.53274,0.93824,0.89833,0.82722,0.88796,0.64149,0.90044,0.83042,0.8874,0.61912,0.99388,1.42167,0.55216,1.02237,0.0008648,0.0008648,0.0008648
88,11503.4,0.91224,1.25146,0.53041,0.93812,0.89645,0.8251,0.88584,0.63388,0.89932,0.82902,0.88634,0.61376,1.0143,1.42241,0.5586,1.03019,0.0008516,0.0008516,0.0008516
89,11635.5,0.91034,1.24539,0.52968,0.93727,0.8959,0.8292,0.88856,0.63531,0.89855,0.83401,0.88878,0.61386,1.01234,1.44011,0.5581,1.03064,0.0008384,0.0008384,0.0008384
90,11766.5,0.91043,1.24122,0.52685,0.93671,0.89489,0.82891,0.88722,0.6359,0.89663,0.83336,0.88777,0.61687,1.00745,1.41883,0.55578,1.02951,0.0008252,0.0008252,0.0008252
91,11898.2,0.9218,1.26564,0.53447,0.94061,0.89486,0.8279,0.88826,0.63262,0.89793,0.83074,0.88769,0.60997,1.01787,1.45428,0.55773,1.03523,0.000812,0.000812,0.000812
92,12029.4,0.90925,1.23875,0.52697,0.93544,0.89583,0.82663,0.88698,0.638,0.89768,0.83048,0.88694,0.61527,1.00254,1.43466,0.55648,1.02766,0.0007988,0.0007988,0.0007988
93,12160.6,0.90672,1.23337,0.52385,0.93525,0.89659,0.82772,0.88823,0.63391,0.89753,0.83263,0.8877,0.6139,1.01605,1.42101,0.55724,1.03001,0.0007856,0.0007856,0.0007856
94,12291.7,0.90916,1.24053,0.52642,0.93587,0.89847,0.82873,0.88844,0.64181,0.90078,0.83279,0.8883,0.61819,0.99351,1.43234,0.54711,1.0247,0.0007724,0.0007724,0.0007724
95,12423.1,0.91297,1.24635,0.52886,0.93734,0.89713,0.82664,0.88776,0.63841,0.90033,0.82959,0.88705,0.61623,1.00253,1.43741,0.55296,1.02745,0.0007592,0.0007592,0.0007592
96,12554.8,0.90391,1.23605,0.52569,0.9344,0.89376,0.82963,0.8884,0.63428,0.89674,0.8324,0.88796,0.60922,1.01386,1.45206,0.56051,1.02857,0.000746,0.000746,0.000746
97,12685.7,0.90722,1.23043,0.52326,0.93454,0.89492,0.82914,0.88733,0.6328,0.89825,0.83181,0.88725,0.61009,1.01851,1.44714,0.55493,1.03276,0.0007328,0.0007328,0.0007328
98,12814.8,0.90664,1.23903,0.52726,0.93882,0.89733,0.82857,0.8885,0.63662,0.89992,0.83148,0.88794,0.61377,1.01233,1.43317,0.55066,1.02936,0.0007196,0.0007196,0.0007196
