epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,5029.89,1.40424,0.63889,1.11156,0.91337,0.84545,0.91402,0.49953,1.57649,0.66235,1.3018,0.0002708,0.0002708,0.0002708
133,5067.79,1.40633,0.64154,1.11548,0.91261,0.84635,0.91379,0.4993,1.57823,0.66262,1.30367,0.0002576,0.0002576,0.0002576
134,5105.51,1.39982,0.63805,1.11395,0.91217,0.84541,0.91355,0.49807,1.58138,0.66497,1.30522,0.0002444,0.0002444,0.0002444
135,5143.54,1.40364,0.64096,1.11145,0.91191,0.8448,0.91316,0.49995,1.57504,0.66539,1.30143,0.0002312,0.0002312,0.0002312
136,5181.25,1.40348,0.63796,1.11144,0.91209,0.84437,0.91262,0.49835,1.57935,0.66445,1.30393,0.000218,0.000218,0.000218
137,5219.11,1.395,0.63468,1.10795,0.91331,0.84313,0.91323,0.50135,1.57046,0.66271,1.29831,0.0002048,0.0002048,0.0002048
138,5256.89,1.39988,0.63352,1.11358,0.91404,0.84573,0.91451,0.50161,1.57228,0.66013,1.29938,0.0001916,0.0001916,0.0001916
139,5294.76,1.40458,0.63732,1.10986,0.9148,0.84389,0.91336,0.50049,1.57475,0.66193,1.2993,0.0001784,0.0001784,0.0001784
140,5332.78,1.39055,0.62924,1.10815,0.91186,0.84522,0.91334,0.49995,1.57798,0.65988,1.30266,0.0001652,0.0001652,0.0001652
141,5369.07,1.39789,0.62512,1.13611,0.91649,0.84556,0.9151,0.50163,1.57754,0.65819,1.30297,0.000152,0.000152,0.000152
142,5403.42,1.38782,0.61955,1.12704,0.91607,0.84544,0.91443,0.50094,1.5803,0.65779,1.30395,0.0001388,0.0001388,0.0001388
143,5437.84,1.38034,0.61394,1.12836,0.91403,0.84585,0.91426,0.49988,1.58517,0.65861,1.30744,0.0001256,0.0001256,0.0001256
144,5472.28,1.3806,0.61531,1.1303,0.91454,0.84452,0.9135,0.49943,1.5851,0.65863,1.30874,0.0001124,0.0001124,0.0001124
145,5506.78,1.37661,0.61379,1.13367,0.91404,0.84495,0.91343,0.49771,1.58996,0.66147,1.3107,9.92e-05,9.92e-05,9.92e-05
146,5541.18,1.37848,0.61182,1.13081,0.91339,0.84423,0.9129,0.49749,1.58807,0.66347,1.31017,8.6e-05,8.6e-05,8.6e-05
147,5575.8,1.37755,0.61145,1.12938,0.91428,0.84418,0.91323,0.49888,1.58525,0.66043,1.31026,7.28e-05,7.28e-05,7.28e-05
148,5610.4,1.37585,0.60881,1.12918,0.91382,0.84495,0.91326,0.49882,1.58594,0.6589,1.3108,5.96e-05,5.96e-05,5.96e-05
149,5644.85,1.37671,0.60835,1.1327,0.9152,0.84442,0.91351,0.49879,1.58601,0.65828,1.31099,4.64e-05,4.64e-05,4.64e-05
150,5679.41,1.37062,0.60663,1.12524,0.91372,0.84605,0.91365,0.49858,1.58738,0.65936,1.31233,3.32e-05,3.32e-05,3.32e-05
